report,report_type,generator_model,generator_key,prompt_type,generation_mode,judge_model,judge_reasoning_effort,faithfulness,factual_supported,factual_contradicted,factual_not_found,factual_total,numerical_accuracy,numerical_correct,numerical_incorrect,numerical_total,completeness,completeness_label,key_information_total,completeness_present,completeness_partially_present,completeness_missing,coherence,coherence_label,judge_input_tokens_total,judge_output_tokens_total_including_reasoning,judge_total_tokens,judge_latency_seconds_total,merged_file
report_quarterly_14.md,quarterly_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,9,0,0,9,1.0,14,0,14,3,Generally yes,10,8,0,2,4,Yes,62705,7307,70012,46.41,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_zero_shot_openai_judge.json
report_quarterly_14.md,quarterly_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,17,0,17,3,Generally yes,10,7,0,3,3,Generally yes,34400,9602,44002,42.68,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_zero_shot_gemini_judge.json
report_quarterly_14.md,quarterly_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,14,0,14,4,Yes,10,8,1,1,4,Yes,33602,6337,39939,46.67,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_zero_shot_qwen36_judge.json
report_quarterly_14.md,quarterly_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,24,0,24,3,Generally yes,10,7,0,3,4,Yes,33677,7475,41152,33.47,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_few_shot_openai_judge.json
report_quarterly_14.md,quarterly_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,16,0,16,4,Yes,10,8,0,2,4,Yes,34280,8576,42856,51.96,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_few_shot_gemini_judge.json
report_quarterly_14.md,quarterly_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,18,0,18,3,Generally yes,10,6,0,4,4,Yes,63017,8104,71121,63.0,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_few_shot_qwen36_judge.json
report_quarterly_14.md,quarterly_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,15,0,15,4,Yes,10,9,0,1,4,Yes,33872,9743,43615,47.01,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_chain_of_event_openai_judge.json
report_quarterly_14.md,quarterly_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,17,0,0,17,1.0,16,0,16,4,Yes,10,8,0,2,4,Yes,34058,8624,42682,56.01,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_chain_of_event_gemini_judge.json
report_quarterly_14.md,quarterly_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,17,0,0,17,1.0,14,0,14,4,Yes,10,8,1,1,4,Yes,33590,6082,39672,30.94,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_14_chain_of_event_qwen36_judge.json
report_quarterly_15.md,quarterly_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,26,0,26,3,Generally yes,6,4,0,2,4,Yes,24356,8359,32715,84.13,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\quarterly_report\merged\report_quarterly_15_zero_shot_openai_judge.json
