Thinking Process:

1.  **Deconstruct and Analyze the Financial Report:**
    *   *Company:* Nordecon AS (Construction group in Estonia, Ukraine, Sweden).
    *   *Period:* 4Q and 12 months of 2025 (Unaudited).
    *   *Key Financials (12M 2025 vs 12M 2024):*
        *   Revenue: €208.3m vs €223.9m. Change: -7%.
        *   Gross Profit: €13.5m vs €16.8m. Margin: 6.5% vs 7.5%.
        *   Operating Profit: €5.7m vs €8.1m. Margin: 2.7% vs 3.6%.
        *   Net Profit: €2.5m vs €5.2m. Attributable to owners: €1.4m vs €3.8m.
        *   EBITDA: €8.3m vs €11.0m. Margin: 4.0% vs 4.9%.
        *   Order Book: €273.1m vs €209.5m. Change: +30%.
        *   New Contracts: €235.0m vs €181.4m.
        *   EPS: €0.05 vs €0.12.
        *   Cash: €5.3m vs €8.2m.
        *   Dividends: None paid in 2025 vs €1.3m in 2024.

    *   *Segment Analysis:*
        *   Buildings: Revenue €168.3m (-10%). Share ~81%. Margin 7.7%.
        *   Infrastructure: Revenue €39.9m (+10%). Share ~19%. Margin 4.8%.
        *   Commercial buildings revenue up ~71%. Public buildings down ~32%.
        *   Property development revenue increased to €9.8m from €7.7m.

    *   *Drivers/Factors:*
        *   *Revenue Decline:* Primarily due to ~10% drop in Buildings segment.
        *   *Profitability:* Lower margins due to cost pressures (material prices up 1.5%, labor costs) and lower volume in Buildings. Administrative expenses decreased by ~14% (€6.8m vs €7.9m) due to lower staff costs/performance pay.
        *   *FX Losses:* Significant impact on net profit. Ukrainian hryvnia weakened ~12% against euro, causing €0.75m exchange loss on loans. Swedish krona movements negligible/loss.
        *   *Order Book Growth:* +30% to €273.1m. Driven by Infrastructure segment (nearly threefold increase). Major contracts: Rail Baltica, Tallinn-Pärnu-Ikla road section, Viljandi spa hotel, Defence projects. ~69% scheduled for 2026.
        *   *Market Context:* Estonia economy grew modestly (1%). Construction market stabilized, slight increase in H2. Competition fierce. Material prices rising due to Ukraine reconstruction demand. Skilled labor shortage.
        *   *Cash Flow:* Operating cash flow positive €1.2m. Investing outflow €2.8m (mostly long-term deposits for guarantees). Financing outflow €1.2m. Cash balance dropped.

    *   *Risks/Liquidity:*
        *   Current ratio 0.93. Liquidity risk slightly higher than usual. Overdrafts classified as current but expected to be extended. Loans to Ukrainian associate classified as non-current due to inability to realize investments short-term.
        *   No dividends paid in 2025.

2.  **Structure the Summary:**
    *   *Goal:* Concise but detailed summary focusing on material developments, changes, causes, and overall performance. Style should match examples (coherent paragraphs, prioritized info, numerical accuracy).
    *   *Drafting - Paragraph by Paragraph:*
        *   *Intro/Overall Performance:* Nordecon reported weaker financial results for 2025 compared to the previous year. Revenue declined, profitability narrowed, and net profit fell significantly. However, the order book expanded substantially, signaling potential future growth.
        *   *Revenue & Segments:* Total revenue decreased by approximately 7% to €208 million, down from €224 million in 2024. This decline was driven primarily by a roughly 10% reduction in the Buildings segment, which accounts for the majority of sales. Conversely, the Infrastructure segment saw revenue grow by about 10%, supported by major railway and road construction projects. Revenue from property development operations also increased. Despite the top-line contraction, administrative expenses were reduced by around 14%, reflecting lower staff costs and performance-based pay liabilities.
        *   *Profitability:* The group's gross margin contracted to 6.5% from 7.5% in the prior year, influenced by rising input costs, including material prices which rose by 1.5% alongside increases in labor and machinery operating costs. Operating margin similarly decreased to 2.7% from 3.6%. While cost control measures and reduced administrative spending helped mitigate some pressure, the lower revenue volume impacted overall earnings. Consequently, net profit fell sharply to €2.5 million from €5.2 million, with net profit attributable to parent shareholders dropping to €1.4 million from €3.8 million.
        *   *FX Impact:* A notable factor affecting financial performance was foreign exchange volatility. The weakening of the Ukrainian hryvnia against the euro by approximately 12% resulted in an exchange loss of €0.8 million, which weighed on net income. This contrasts with the previous year when similar fluctuations caused smaller losses.
        *   *Order Book & Outlook:* A key positive development was the significant expansion of the order book, which grew by 30% to €273 million at year-end, compared to €209 million previously. This growth was largely propelled by a nearly threefold increase in the Infrastructure backlog, fueled by substantial contracts including work on the Rail Baltica main line and national road improvements. Approximately 69% of the current order book is scheduled for execution in 2026. Management expects business volumes to rise in the coming year, supported by the robust backlog and optimistic economic forecasts for Estonia, despite ongoing challenges such as fierce competition and skilled labor shortages. New contracts secured totaled €235 million, marking a considerable increase over the prior period.
