report,report_type,generator_model,generator_key,prompt_type,generation_mode,judge_model,judge_reasoning_effort,faithfulness,factual_supported,factual_contradicted,factual_not_found,factual_total,numerical_accuracy,numerical_correct,numerical_incorrect,numerical_total,completeness,completeness_label,key_information_total,completeness_present,completeness_partially_present,completeness_missing,coherence,coherence_label,judge_input_tokens_total,judge_output_tokens_total_including_reasoning,judge_total_tokens,judge_latency_seconds_total,merged_file
report_quarterly_1.md,quarterly_report,GPT-5.6 Luna,openai,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,18,0,18,3,Generally yes,9,7,0,2,4,Yes,20707,8113,28820,35.39,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_zero_shot_openai_judge.json
report_quarterly_1.md,quarterly_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,16,0,0,16,1.0,13,0,13,2,Neutral/Mixed,9,5,0,4,4,Yes,20401,5884,26285,27.34,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_zero_shot_gemini_judge.json
report_quarterly_1.md,quarterly_report,Qwen3.6-35B-A3B,qwen36,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,12,0,0,12,1.0,10,0,10,2,Neutral/Mixed,9,4,0,5,4,Yes,20101,5108,25209,25.78,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_zero_shot_qwen36_judge.json
report_quarterly_1.md,quarterly_report,GPT-5.6 Luna,openai,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,6,0,0,6,1.0,20,0,20,3,Generally yes,9,7,0,2,4,Yes,37416,11231,48647,60.32,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_few_shot_openai_judge.json
report_quarterly_1.md,quarterly_report,Gemini 3.5 Flash-Lite,gemini,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,29,0,29,4,Yes,9,8,0,1,4,Yes,20299,5856,26155,28.97,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_few_shot_gemini_judge.json
report_quarterly_1.md,quarterly_report,Qwen3.6-35B-A3B,qwen36,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,17,0,0,17,0.956522,22,1,23,4,Yes,9,8,0,1,4,Yes,38132,12791,50923,76.78,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_few_shot_qwen36_judge.json
report_quarterly_1.md,quarterly_report,GPT-5.6 Luna,openai,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,21,0,0,21,1.0,15,0,15,4,Yes,9,9,0,0,4,Yes,20743,8905,29648,47.81,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_chain_of_event_openai_judge.json
report_quarterly_1.md,quarterly_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,15,0,0,15,1.0,14,0,14,3,Generally yes,9,5,0,4,4,Yes,20338,5024,25362,30.21,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_chain_of_event_gemini_judge.json
report_quarterly_1.md,quarterly_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,20,0,20,2,Neutral/Mixed,9,6,0,3,4,Yes,37648,13673,51321,66.73,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_1_chain_of_event_qwen36_judge.json
report_quarterly_2.md,quarterly_report,GPT-5.6 Luna,openai,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,27,0,27,4,Yes,7,7,0,0,3,Generally yes,25740,6998,32738,39.23,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\quarterly_report\merged\report_quarterly_2_zero_shot_openai_judge.json
