category,report,prompt,label,model,filename,criterion,score,average_score
direct,report_1,chain_of_event,A,openai,report_1_chain_of_event_openai.txt,faithfulness,0.85,0.9125
direct,report_1,chain_of_event,A,openai,report_1_chain_of_event_openai.txt,numerical_accuracy,0.95,0.9125
direct,report_1,chain_of_event,A,openai,report_1_chain_of_event_openai.txt,coverage,0.85,0.9125
direct,report_1,chain_of_event,A,openai,report_1_chain_of_event_openai.txt,coherence,1.0,0.9125
direct,report_1,chain_of_event,B,ollama,report_1_chain_of_event_ollama.txt,faithfulness,0.7,0.725
direct,report_1,chain_of_event,B,ollama,report_1_chain_of_event_ollama.txt,numerical_accuracy,0.7,0.725
direct,report_1,chain_of_event,B,ollama,report_1_chain_of_event_ollama.txt,coverage,0.65,0.725
direct,report_1,chain_of_event,B,ollama,report_1_chain_of_event_ollama.txt,coherence,0.85,0.725
direct,report_1,chain_of_event,C,gemini,report_1_chain_of_event_gemini.txt,faithfulness,0.8,0.8875
direct,report_1,chain_of_event,C,gemini,report_1_chain_of_event_gemini.txt,numerical_accuracy,0.9,0.8875
direct,report_1,chain_of_event,C,gemini,report_1_chain_of_event_gemini.txt,coverage,0.9,0.8875
direct,report_1,chain_of_event,C,gemini,report_1_chain_of_event_gemini.txt,coherence,0.95,0.8875
direct,report_1,few_shot,A,ollama,report_1_few_shot_ollama.txt,faithfulness,0.55,0.65
direct,report_1,few_shot,A,ollama,report_1_few_shot_ollama.txt,numerical_accuracy,0.45,0.65
direct,report_1,few_shot,A,ollama,report_1_few_shot_ollama.txt,coverage,0.7,0.65
direct,report_1,few_shot,A,ollama,report_1_few_shot_ollama.txt,coherence,0.9,0.65
direct,report_1,few_shot,B,openai,report_1_few_shot_openai.txt,faithfulness,0.9,0.9125
direct,report_1,few_shot,B,openai,report_1_few_shot_openai.txt,numerical_accuracy,0.95,0.9125
direct,report_1,few_shot,B,openai,report_1_few_shot_openai.txt,coverage,0.85,0.9125
direct,report_1,few_shot,B,openai,report_1_few_shot_openai.txt,coherence,0.95,0.9125
direct,report_1,few_shot,C,gemini,report_1_few_shot_gemini.txt,faithfulness,0.85,0.9
direct,report_1,few_shot,C,gemini,report_1_few_shot_gemini.txt,numerical_accuracy,0.95,0.9
direct,report_1,few_shot,C,gemini,report_1_few_shot_gemini.txt,coverage,0.85,0.9
direct,report_1,few_shot,C,gemini,report_1_few_shot_gemini.txt,coherence,0.95,0.9
direct,report_1,zero_shot,A,openai,report_1_zero_shot_openai.txt,faithfulness,0.95,0.9375
direct,report_1,zero_shot,A,openai,report_1_zero_shot_openai.txt,numerical_accuracy,0.95,0.9375
direct,report_1,zero_shot,A,openai,report_1_zero_shot_openai.txt,coverage,0.9,0.9375
direct,report_1,zero_shot,A,openai,report_1_zero_shot_openai.txt,coherence,0.95,0.9375
direct,report_1,zero_shot,B,gemini,report_1_zero_shot_gemini.txt,faithfulness,0.85,0.8875
direct,report_1,zero_shot,B,gemini,report_1_zero_shot_gemini.txt,numerical_accuracy,0.95,0.8875
direct,report_1,zero_shot,B,gemini,report_1_zero_shot_gemini.txt,coverage,0.8,0.8875
direct,report_1,zero_shot,B,gemini,report_1_zero_shot_gemini.txt,coherence,0.95,0.8875
direct,report_1,zero_shot,C,ollama,report_1_zero_shot_ollama.txt,faithfulness,0.3,0.3875
direct,report_1,zero_shot,C,ollama,report_1_zero_shot_ollama.txt,numerical_accuracy,0.2,0.3875
direct,report_1,zero_shot,C,ollama,report_1_zero_shot_ollama.txt,coverage,0.45,0.3875
direct,report_1,zero_shot,C,ollama,report_1_zero_shot_ollama.txt,coherence,0.6,0.3875
direct,report_2,chain_of_event,A,ollama,report_2_chain_of_event_ollama.txt,faithfulness,0.85,0.8
direct,report_2,chain_of_event,A,ollama,report_2_chain_of_event_ollama.txt,numerical_accuracy,0.7,0.8
direct,report_2,chain_of_event,A,ollama,report_2_chain_of_event_ollama.txt,coverage,0.75,0.8
direct,report_2,chain_of_event,A,ollama,report_2_chain_of_event_ollama.txt,coherence,0.9,0.8
direct,report_2,chain_of_event,B,gemini,report_2_chain_of_event_gemini.txt,faithfulness,0.8,0.825
direct,report_2,chain_of_event,B,gemini,report_2_chain_of_event_gemini.txt,numerical_accuracy,0.75,0.825
direct,report_2,chain_of_event,B,gemini,report_2_chain_of_event_gemini.txt,coverage,0.8,0.825
direct,report_2,chain_of_event,B,gemini,report_2_chain_of_event_gemini.txt,coherence,0.95,0.825
direct,report_2,chain_of_event,C,openai,report_2_chain_of_event_openai.txt,faithfulness,0.95,0.95
direct,report_2,chain_of_event,C,openai,report_2_chain_of_event_openai.txt,numerical_accuracy,1.0,0.95
direct,report_2,chain_of_event,C,openai,report_2_chain_of_event_openai.txt,coverage,0.9,0.95
direct,report_2,chain_of_event,C,openai,report_2_chain_of_event_openai.txt,coherence,0.95,0.95
direct,report_2,few_shot,A,openai,report_2_few_shot_openai.txt,faithfulness,0.9,0.9375
direct,report_2,few_shot,A,openai,report_2_few_shot_openai.txt,numerical_accuracy,0.95,0.9375
direct,report_2,few_shot,A,openai,report_2_few_shot_openai.txt,coverage,0.9,0.9375
direct,report_2,few_shot,A,openai,report_2_few_shot_openai.txt,coherence,1.0,0.9375
direct,report_2,few_shot,B,gemini,report_2_few_shot_gemini.txt,faithfulness,0.95,0.95
