report,report_type,generator_model,generator_key,prompt_type,generation_mode,judge_model,judge_reasoning_effort,faithfulness,factual_supported,factual_contradicted,factual_not_found,factual_total,numerical_accuracy,numerical_correct,numerical_incorrect,numerical_total,completeness,completeness_label,key_information_total,completeness_present,completeness_partially_present,completeness_missing,coherence,coherence_label,judge_input_tokens_total,judge_output_tokens_total_including_reasoning,judge_total_tokens,judge_latency_seconds_total,merged_file
report_annual_1.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,11,0,11,2,Neutral/Mixed,8,5,0,3,3,Generally yes,66053,6584,72637,39.21,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_zero_shot_openai_judge.json
report_annual_1.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,17,0,17,3,Generally yes,8,5,0,3,4,Yes,128361,8305,136666,55.86,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_zero_shot_gemini_judge.json
report_annual_1.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,12,0,12,4,Yes,8,8,0,0,4,Yes,66281,6081,72362,32.27,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_zero_shot_qwen36_judge.json
report_annual_1.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,9,0,0,9,1.0,12,0,12,3,Generally yes,8,5,1,2,4,Yes,127870,7558,135428,46.85,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_few_shot_openai_judge.json
report_annual_1.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,9,0,0,9,1.0,18,0,18,2,Neutral/Mixed,8,4,0,4,4,Yes,128449,7031,135480,41.45,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_few_shot_gemini_judge.json
report_annual_1.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,13,0,0,13,1.0,11,0,11,3,Generally yes,8,6,1,1,4,Yes,66101,6191,72292,40.65,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_few_shot_qwen36_judge.json
report_annual_1.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,11,0,0,11,1.0,14,0,14,3,Generally yes,8,6,1,1,4,Yes,128017,7846,135863,51.64,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_chain_of_event_openai_judge.json
report_annual_1.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,22,0,0,22,1.0,15,0,15,3,Generally yes,8,6,0,2,3,Generally yes,66731,7275,74006,39.28,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_chain_of_event_gemini_judge.json
report_annual_1.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,13,0,0,13,1.0,10,0,10,4,Yes,8,7,0,1,4,Yes,127839,5525,133364,36.15,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_1_chain_of_event_qwen36_judge.json
report_annual_2.md,annual_report,GPT-5.6 Luna,openai,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,28,0,28,3,Generally yes,8,6,0,2,4,Yes,238401,9772,248173,224.16,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_zero_shot_openai_judge.json
report_annual_2.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,13,0,0,13,0.846154,11,2,13,4,Yes,8,8,0,0,3,Generally yes,122209,8162,130371,61.63,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_zero_shot_gemini_judge.json
report_annual_2.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,11,0,0,11,1.0,14,0,14,3,Generally yes,8,6,0,2,4,Yes,121354,6346,127700,41.44,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_zero_shot_qwen36_judge.json
report_annual_2.md,annual_report,GPT-5.6 Luna,openai,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,26,0,26,3,Generally yes,8,7,0,1,4,Yes,238486,8907,247393,74.58,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_few_shot_openai_judge.json
report_annual_2.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,17,0,0,17,1.0,10,0,10,3,Generally yes,8,5,0,3,4,Yes,121285,5084,126369,37.39,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_few_shot_gemini_judge.json
report_annual_2.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,9,0,0,9,1.0,12,0,12,3,Generally yes,8,6,1,1,4,Yes,238227,6299,244526,193.64,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_few_shot_qwen36_judge.json
report_annual_2.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,12,0,0,12,1.0,27,0,27,3,Generally yes,8,7,0,1,4,Yes,238501,10915,249416,87.13,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_chain_of_event_openai_judge.json
report_annual_2.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,13,0,0,13,1.0,10,0,10,2,Neutral/Mixed,8,4,0,4,3,Generally yes,121159,5289,126448,33.69,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_chain_of_event_gemini_judge.json
report_annual_2.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,normal,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,20,0,0,20,1.0,12,0,12,4,Yes,8,8,0,0,4,Yes,121285,5822,127107,41.63,C:\Users\Ivan\Bakalaura_darbs\data\judge_results\nova_2_lite\annual_report\merged\report_annual_2_chain_of_event_qwen36_judge.json
