Thinking Process:

1.  **Deconstruct and Analyze the Document:**
    *   *Company:* AS Amber Latvijas balzams.
    *   *Period:* Three months ended 31 March 2026 (Q1 2026).
    *   *Reporting Standard:* IFRS as adopted by the EU. Unaudited condensed financial statements.
    *   *Key Event:* Company filed for Legal Protection Proceedings (LPP) in Riga City Court on Jan 30, 2026; court approved Feb 5, 2026. This is due to cash flow difficulties, delayed excise tax payments, and frozen bank accounts by SRS.
    *   *Causes of Financial Difficulty:*
        *   U.S. bankruptcy of Stoli Group (USA), LLC in Jan 2026; loss of control over US operations.
        *   Russian authorities designated entities "extremist," confiscated Talvis distillery after Amber Beverage Group supported Ukraine.
        *   Global spirits market downturn, declining sales volumes, changing consumer habits, economic pressure.
        *   Combined effect led to cash flow issues and tax payment delays.
    *   *Financial Results (Q1 2026 vs Q1 2025):*
        *   *Sales Volume:* 9Lcs dropped from 810,079 to 517,600. Decrease of 36.1%.
        *   *Net Turnover:* EUR 11.1 million (11,098,522). Decrease of 29.6% compared to EUR 15.77 million. Reasons: lower volumes, high comparison base (revenue adjustment in 2025).
        *   *Gross Profit:* EUR 1.2 million (1,159,478). EUR 2.3 million lower (down 66.5%) compared to previous period. Reasons: product mix changes, pricing methodology adjustments. Cost reductions offset by these factors.
        *   *Operating Result:* Loss of EUR 1.6 million (1,608,958). Previous year was profit of EUR 0.6 million. Margin -14.5% vs 3.7%. Deterioration due to decline in production/sales volumes.
        *   *Net Result:* Loss of EUR 1.4 million (1,387,095). Previous year was profit of EUR 0.9 million (858,896).
        *   *EBITDA (12-month trailing? Note says "last 12 months" for ROA/ROE/EBITDA table, but text discusses Q1 performance mostly. The table shows EBITDA 7,717k for 31.03.2026, which implies a trailing twelve months figure based on the footnotes "EBITDA = Earnings... last 12 months". However, the income statement shows specific Q1 figures. I should focus on the explicit Q1 reported numbers: Turnover, Gross Profit, Operating Result, Net Result.)*
        *   *EPS:* Loss of EUR 0.19 vs Profit of EUR 0.11.
    *   *Operational/Non-Financial Indicators:*
        *   *RFT:* Improved to 99.5% from 98.4%.
        *   *OTIF:* Dropped significantly to 70.3% from 97.5%. Likely related to operational disruptions/LPP/SRS freeze.
