Thinking Process:

1.  **Deconstruct and Analyze the Financial Report:**
    *   *Goal:* Summarize the financial report for Nordic Fibreboard AS, Q1 2026 (3 months ended March 31, 2026).
    *   *Constraint Checklist & Confidence Score:*
        *   Analyze sequence? Yes.
        *   Concise summary? Yes.
        *   Material info prioritized? Yes.
        *   Numerical values/percentages included? Yes.
        *   Only info from report? Yes.
        *   No invented info? Yes.
        *   No unsupported causal relationships? Yes.
        *   No Markdown/Headings/Bullets/Bold? Yes.
        *   Concise, focused? Yes.
        *   No secondary details unless important? Yes.
        *   Word count ~350-450 words? Need to check.
        *   Output only final summary? Yes.
        *   Confidence Score: 5/5.

    *   *Step 1: Identify Important Financial Results/Indicators.*
        *   Revenue: €1,861k (Q1 2026) vs €1,734k (Q1 2025). Increase of €127k (+7.3%).
        *   EBITDA: -€395k (Q1 2026) vs -€85k (Q1 2025). Margin -21% vs -5%. Decline.
        *   Operating Loss: -€530k (Q1 2026) vs -€217k (Q1 2025).
        *   Net Loss: -€570k (Q1 2026) vs -€228k (Q1 2025).
        *   Cost of Goods Sold: €1,966k (Q1 2026) vs €1,608k (Q1 2025). Huge increase.
        *   Gross Profit: -€105k (Q1 2026) vs +€127k (Q1 2025).
        *   Cash Flow: Operating cash flow €13k (Q1 2026) vs -€528k (Q1 2025). Improvement.
        *   Total Assets: €9,694k vs €8,722k.
        *   Liabilities: €5,802k vs €5,334k.
        *   Equity: €3,892k vs €3,388k.
        *   Borrowings: €3,320k total. Short-term increased, long-term decreased? Table shows Total borrowings 3,320k vs 3,808k. Actually, looking at Note 8, Total borrowings 3,320k (2026) vs 3,808k (2025). Debt reduced overall but structure changed.
        *   Share price/Market cap mentioned in highlights but less critical for "financial performance" analysis usually, though market cap dropped €6,544k to €5,949k.

    *   *Step 2: Determine Significant Changes and Performance Direction.*
        *   Revenue improved significantly (+7.3%).
        *   Profitability deteriorated sharply. EBITDA margin worsened by 16 percentage points (-21% vs -5%). Net loss more than doubled in magnitude (-€570k vs -€228k).
        *   Cost of sales surged (+€358k), far outpacing revenue growth.
        *   Labor costs decreased slightly (€411k vs €471k).
        *   Finance expenses decreased slightly (€41k vs €51k).
        *   Operating cash flow turned positive compared to negative previous year.

    *   *Step 3: Identify Main Business Events/Factors.*
        *   Factory shutdown in early Jan for new boiler house transition. Calibration/start-up took ~2 months.
        *   Cold weather increased energy consumption.
        *   US military attack on Iran caused sharp gas price increase in Feb; prices nearly doubled. Prices fell but remain ~50% higher than start of year.
        *   Finnish DIY stores order volume increased by €241k.
        *   Property segment: Merger of Pärnu Riverside Development OÜ into parent completed June 2025. Preliminary sale agreement for ten properties signed Jan 8, 2026. Design works for Admirali Quarter completed. Permits issued.
        *   Employee count reduced to 57 from 69/60 depending on comparison point. Average personnel 59 vs 69.
        *   Investments in production assets €169k. Sale of TPD shares happened in 2025, not 2026.

    *   *Step 4: Connect Financial Changes with Events/Factors.*
        *   *Revenue Increase:* Supported by Finnish DIY stores orders up €241k. This is explicitly supported.
