report,report_type,generator_model,generator_key,prompt_type,generation_mode,judge_model,judge_reasoning_effort,faithfulness,factual_supported,factual_contradicted,factual_not_found,factual_total,numerical_accuracy,numerical_correct,numerical_incorrect,numerical_total,completeness,completeness_label,key_information_total,completeness_present,completeness_partially_present,completeness_missing,coherence,coherence_label,judge_input_tokens_total,judge_output_tokens_total_including_reasoning,judge_total_tokens,judge_latency_seconds_total,merged_file
report_annual_14.md,annual_report,GPT-5.6 Luna,openai,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,6,0,0,6,1.0,15,0,15,3,Generally yes,9,6,0,3,4,Yes,151475,4918,156393,32.91,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_zero_shot_openai_judge.json
report_annual_14.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,18,0,18,3,Generally yes,9,6,0,3,4,Yes,151632,11211,162843,61.86,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_zero_shot_gemini_judge.json
report_annual_14.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,15,0,15,3,Generally yes,9,7,0,2,4,Yes,78037,7043,85080,36.92,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_zero_shot_qwen36_judge.json
report_annual_14.md,annual_report,GPT-5.6 Luna,openai,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,26,0,0,26,1.0,18,0,18,3,Generally yes,9,6,0,3,3,Generally yes,151772,8041,159813,47.38,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_few_shot_openai_judge.json
report_annual_14.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,7,0,0,7,1.0,14,0,14,3,Generally yes,9,6,0,3,4,Yes,151455,5403,156858,36.78,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_few_shot_gemini_judge.json
report_annual_14.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,9,0,0,9,1.0,13,0,13,3,Generally yes,9,6,0,3,4,Yes,77629,4305,81934,32.03,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_few_shot_qwen36_judge.json
report_annual_14.md,annual_report,GPT-5.6 Luna,openai,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,7,0,0,7,1.0,16,0,16,3,Generally yes,9,6,0,3,4,Yes,151687,6340,158027,42.44,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_chain_of_event_openai_judge.json
report_annual_14.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,5,0,0,5,1.0,15,0,15,3,Generally yes,9,5,0,4,3,Generally yes,151651,6156,157807,46.99,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_chain_of_event_gemini_judge.json
report_annual_14.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,17,0,0,17,1.0,12,0,12,3,Generally yes,9,7,0,2,4,Yes,151183,6089,157272,37.46,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_14_chain_of_event_qwen36_judge.json
report_annual_15.md,annual_report,GPT-5.6 Luna,openai,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,6,0,0,6,0.941176,16,1,17,3,Generally yes,8,6,0,2,4,Yes,145528,11237,156765,69.74,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_zero_shot_openai_judge.json
report_annual_15.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,5,0,0,5,1.0,13,0,13,3,Generally yes,8,5,0,3,4,Yes,286076,6352,292428,54.57,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_zero_shot_gemini_judge.json
report_annual_15.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,11,0,11,3,Generally yes,8,5,0,3,4,Yes,145093,5353,150446,34.49,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_zero_shot_qwen36_judge.json
report_annual_15.md,annual_report,GPT-5.6 Luna,openai,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,21,0,21,3,Generally yes,8,6,0,2,4,Yes,286492,7315,293807,56.73,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_few_shot_openai_judge.json
report_annual_15.md,annual_report,Gemini 3.5 Flash-Lite,gemini,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,8,0,0,8,1.0,11,0,11,3,Generally yes,8,6,0,2,4,Yes,145288,5779,151067,36.17,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_few_shot_gemini_judge.json
report_annual_15.md,annual_report,Qwen3.6-35B-A3B,qwen36,few_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,18,0,0,18,1.0,11,0,11,3,Generally yes,8,6,0,2,4,Yes,145033,6593,151626,40.76,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_few_shot_qwen36_judge.json
report_annual_15.md,annual_report,Gemini 3.5 Flash-Lite,gemini,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,16,0,0,16,1.0,15,0,15,3,Generally yes,8,5,0,3,4,Yes,145348,6765,152113,47.37,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_chain_of_event_gemini_judge.json
report_annual_15.md,annual_report,Qwen3.6-35B-A3B,qwen36,chain_of_event,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,19,0,0,19,1.0,12,0,12,3,Generally yes,8,7,0,1,4,Yes,145297,6195,151492,38.92,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_15_chain_of_event_qwen36_judge.json
report_annual_16.md,annual_report,GPT-5.6 Luna,openai,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,23,0,0,23,1.0,28,0,28,4,Yes,7,7,0,0,4,Yes,99151,9548,108699,49.85,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_16_zero_shot_openai_judge.json
report_annual_16.md,annual_report,Gemini 3.5 Flash-Lite,gemini,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,16,0,0,16,1.0,11,0,11,4,Yes,7,7,0,0,3,Generally yes,51828,6756,58584,36.52,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_16_zero_shot_gemini_judge.json
report_annual_16.md,annual_report,Qwen3.6-35B-A3B,qwen36,zero_shot,reasoning_high,Amazon Nova 2 Lite,factual=low;completeness=off;coherence=off,1.0,15,0,0,15,1.0,11,0,11,3,Generally yes,7,6,0,1,4,Yes,98869,6028,104897,39.17,C:\Users\Ivan\Bakalaura_darbs\data\judge_results_reasoning_high\nova_2_lite\annual_report\merged\report_annual_16_zero_shot_qwen36_judge.json
