Thinking Process:

1.  **Deconstruct and Analyze the Request:**
    *   Goal: Summarize the financial report for AS Silvano Fashion Group (Q2 and 6 months of 2026).
    *   Focus Areas:
        *   Most important financial results/indicators.
        *   Significant changes vs. previous period.
        *   Main business events/developments/market factors.
        *   Overall development of performance.
    *   Constraints:
        *   Concise, prioritize material info.
        *   Include numerical values and % changes when explicit.
        *   Use only info from the report. No invention, no unsupported inference.
        *   Length: ~350-450 words (but can be shorter if less material info exists; "sufficient detail to cover main financial developments").
        *   Format: Coherent short financial summary, NO Markdown, NO headings, NO bullet points, NO bold text.
        *   Output: Just the summary text.

2.  **Extract Key Data from the Report:**
    *   *Revenue:* 28,590 thousand EUR (6m 2026) vs 28,428 thousand EUR (6m 2025). Change: +0.6%.
    *   *Gross Profit:* 15,892 thousand EUR vs 15,091 thousand EUR. Change: +5.3%. Margin: 55.6% vs 53.1%.
    *   *Operating Profit:* 5,751 thousand EUR vs 5,961 thousand EUR. Change: -3.5%. Margin: 20.1% vs 21.0%.
    *   *EBITDA:* 7,508 thousand EUR vs 7,566 thousand EUR. Change: -0.8%. Margin: 26.3% vs 26.6%.
    *   *Net Profit:* 4,321 thousand EUR vs 6,279 thousand EUR. Change: -31.2%.
    *   *Net Profit (Parent):* 3,961 thousand EUR vs 5,781 thousand EUR. Change: -31.5%. EPS: 0.11 EUR vs 0.16 EUR.
    *   *Cash Flow:* Operating cash flow 6,842 thousand EUR vs 3,481 thousand EUR. Change: +96.6%.
    *   *Balance Sheet Highlights:* Total assets 98,603 thousand EUR (+5.1%). Cash and equivalents 12,443 thousand EUR (+87.4%). Equity attributable to parent 81,479 thousand EUR (+6.1%).
    *   *Regional Sales:*
        *   Russia: 15,767 thousand EUR (-0.6%), local currency sales -7.8%.
        *   Belarus: 9,046 thousand EUR (+6.4%), local currency sales +2.7%.
        *   Ukraine: 15 thousand EUR (-58.3%).
        *   Baltics: 484 thousand EUR (-16.7%).
        *   Other: 3,278 thousand EUR (-5.1%).
    *   *Segment Sales:* Wholesale 14,934 thousand EUR (-9.1%). Retail 13,548 thousand EUR (+13.6%).
    *   *Store Count:* Own stores 135 total (Russia 67, Belarus 65, Baltics 3). Franchise 412. Total 547. End of reporting: 67 own in Russia (down from 69), 65 own in Belarus (flat).
    *   *Personnel:* 1,594 employees (down from 1,639).
    *   *Business Events:* Shareholder meetings appointed Treetiger OÜ auditor. Approved 2025 net profit 9,229 thousand EUR, left undistributed. Investments in PPE 115 thousand EUR (vs 368 thousand EUR prior year). Focus on improving profitability in Russia retail.

3.  **Draft the Summary (Mental or rough text construction, keeping word count and constraints in mind):**
    *   *Drafting:*
        AS Silvano Fashion Group reported consolidated revenue of 28,590 thousand EUR for the first six months of 2026, representing a 0.6% increase compared to 28,428 thousand EUR in the same period of 2025. Revenue growth was driven primarily by a 13.6% expansion in retail sales to 13,548 thousand EUR, which offset a 9.1% decline in wholesale revenue to 14,934 thousand EUR. The largest market, Russia, contributed 55.1% of total sales at 15,767 thousand EUR, while Belarus accounted for 31.6% with sales reaching 9,046 thousand EUR, reflecting strong regional performance. Sales in Belarus increased by 6.4%, supported by a 2.7% rise in local currency volume, whereas Russian local currency sales decreased by 7.8%. Ukraine recorded a sharp contraction in sales by 58.3% to 15 thousand EUR.

