Thinking Process:

1.  **Deconstruct and Analyze the Report:**
    *   *Goal:* Summarize the financial report for Impero A/S for the year ending December 31, 2025.
    *   *Constraints:* No Markdown, no headings, no bullets, no bold text. Concise summary, 350-450 words (or slightly less if material info is low, but aim for that range). Only use reported info. Numerical accuracy. Explicit causal links only. Prioritize material financial performance.

    *   *Step 1: Identify important financial results/indicators.*
        *   ARR: DKK 46.2M (End 2025), 19% YoY growth. Range was 11-19%, hit upper end.
        *   Revenue: DKK 42.0M (FY 2025) vs DKK 35.4M (FY 2024). Increase of 19%.
        *   EBITDA: -DKK 3.1M (FY 2025) vs -DKK 8.7M (FY 2024). Improvement of DKK 5.6M. Guidance was -5M to -3M, hit better end.
        *   Operating Profit (EBIT): -DKK 6.8M vs -DKK 11.4M. Improvement of DKK 4.6M.
        *   Loss for the period: -DKK 6.8M vs -DKK 11.4M.
        *   Cash flow from operating activities: -DKK 1.3M vs -DKK 4.3M. Improvement.
        *   Cash position: DKK 18.9M (End 2025).
        *   Equity: DKK 15.4M (End 2025).
        *   Churn: 1% (Exceptionally low).
        *   NRR: 106%.
        *   ARPA: DKK 228T (Record high). First 12 months ARPA: DKK 204T.
        *   New Customers: 26 total. Customer base > 200.
        *   Top 10 concentration: 20% (Down from 37% in 2020).
        *   Capital raise: DKK 15M directed issue in Dec 2025.
        *   CAC Payback: 22 months (Worse than 15 in 2024). CAC: DKK 371T.

    *   *Step 2: Determine significant changes and performance direction.*
        *   ARR Growth: Improved from 28% in 2024 to 19% in 2025. Still solid, hit upper guidance range.
        *   EBITDA/Loss: Significant improvement. Better end of guidance.
        *   Revenue: Strong growth matching ARR growth.
        *   Costs: Staff costs up 6%, Other external expenses up 6%. Revenue up 19%. Leverage improved.
        *   Cost of Sales: Down 16% or contribution margin up slightly (98% vs 97%).
        *   Cash Burn to Net New ARR ratio: 0.9 (Year-end), improved from Q2/Q3 levels of 1.5.
        *   Strategy Shift: Deferred ambition to be cash flow positive by end of 2026 to invest more in growth.

    *   *Step 3: Identify main business events/factors.*
        *   Market conditions: Headwinds in H1 (geopolitical, macroeconomic uncertainty), improved in H2. Best H2 net new ARR ever.
        *   Product: Control Testing module launched July 2025. AI integration started. Entity Management planned for 2026.
        *   Customers: Reached 200 customers. Diversification improved top 10 concentration. Land-and-expand working (ARPA up, uplift 12%).
        *   Partners: Partner channel had delays in decision-making in 2025. Focus on Germany/DACH. PwC Germany partnership.
        *   Regional: Denmark +22% net new ARR. DACH +26% net new ARR. Other markets declined (-6%) due to UK contraction.
        *   Organizational: New CFO Kasper Lihn (Oct 2025). New CCO Kim Mortensen (Jan 2026). Team size 40 employees.
        *   Financial Events: DKK 15M equity raise Dec 2025. Warrants exercised.
        *   Strategy: "Increasing the Impact." Deferred cash flow positive goal. Accelerate commercial investments in 2026.

    *   *Step 4: Connect changes to factors.*
        *   EBITDA improvement linked to revenue increase (19%) outpacing staff cost increase (6%) and other external expense increase (6%). Also activation of development costs (DKK 5.2M vs 3.6M) helped.
        *   ARR growth rebound linked to market improvement in H2 after H1 headwinds.
        *   ARPA increase linked to land-and-expand strategy and new modules/features.
        *   Other markets decline linked to larger contraction in UK service agreements.
